word,definition
aah,"Used to express pleasure, satisfaction, surprise, or great joy."
aal,"The Indian mulberry or Noni (Morinda citrifolia, Morinda tinctoria), a shrub found in Southeast Asia, the East Indies and the Pacific islands as far as French Polynesia."
aas,a loose sleeveless outer garment made from aba cloth; worn by Arabs.
aba,A fabric woven of the hair of camels or goats.
abo,a dark-skinned member of a race of people living in Australia when Europeans arrived
abs,absolute temperature
aby,"atone for, make amends for."
ace,"A single spot or pip on a playing card, die, or domino."
act,The process of doing or performing something:  the act of thinking. 
add,"To combine (a column of figures, for example) to form a sum."
ado,Bustle; fuss; trouble; bother.
ads,Plural form of ad.
adz,"An axlike tool with a curved blade at right angles to the handle, used for shaping wood."
aff,Off.
aft,"At, in, toward, or close to the stern of a vessel or the rear of an aircraft or spacecraft."
aga,"Used as a title for a civil or military leader, especially in Turkey."
age,The length of time that one has existed; duration of life:  23 years of age. 
ago,Gone by; past:  two years ago. 
ags,No definition found.
aha,"Used to express surprise, pleasure, or triumph."
ahi,the yellowfin tuna
ahs,Plural form of ah.
aid,"To help or furnish with help, support, or relief. See Synonyms at help."
ail,To feel ill or have pain.
aim,To direct (a weapon) toward an intended target.
ain,Scots   Own.
air,"A colorless, odorless, tasteless, gaseous mixture, mainly nitrogen (approximately 78 percent) and oxygen (approximately 21 percent) with lesser amounts of argon, carbon dioxide, hydrogen, neon, helium, and other gases."
ais,Plural form of ai.
ait,Chiefly British   A small island.
aji,No definition found.
ala,Zoology   A wing or winglike structure or part.
alb,Ecclesiastical   A long white linen robe with tapered sleeves worn by a priest at Mass.
ale,"A fermented alcoholic beverage containing malt and hops, similar to but heavier than beer."
all,"Being or representing the entire or total number, amount, or quantity:  All the windows are open. Deal all the cards.  See Synonyms at whole."
alp,A high mountain.
als,Also.
alt,Pitched in the first octave above the treble staff; high.
ama,Alternative spelling of amah.
ami,No definition found.
amp,Informal   An ampere.
amu,atomic mass unit
ana,A collection of various materials that reflect the character of a person or place:  definitive ana of the early American West. 
and,"Together with or along with; in addition to; as well as. Used to connect words, phrases, or clauses that have the same grammatical function in a construction."
ane,Chiefly Scots   One.
ani,"Any of several chiefly tropical American birds of the genus Crotophaga, related to the cuckoo and having black plumage and a long tail."
ant,"Any of various social insects of the family Formicidae, characteristically having wings only in the males and fertile females and living in colonies that have a complex social organization."
any,"One, some, every, or all without specification:  Take any book you want. Are there any messages for me? Any child would love that. Give me any food you don't want. "
ape,"Any of various large, tailless Old World primates of the family Pongidae, including the chimpanzee, gorilla, gibbon, and orangutan."
apo,"In an inactive, unbound state"
app,Informal   A computer application.
apt,Exactly suitable; appropriate:  an apt reply. 
arb,Informal   An arbitrageur.
arc,Something shaped like a curve or arch:  the vivid arc of a rainbow. 
are,Second person singular and plural and first and third person plural present indicative of be.
arf,Representing the sound of a dog's bark.
