fab,Informal   Fabrication.
fad,A brief fashion; a craze.
fag,To make weary by hard work.
fah,An anglicised spelling of fa.
fan,A device for creating a breeze.
far,At considerable distance. 
fas,Plural form of fa.
fat,Having an abundance of flesh.
fax,A fax machine.
fay,To join or fit closely or tightly.
fed,Past tense and past participle of feed.
fee,A fixed sum charged. 
feh,An expression of disgust.
fem,An effeminate or homosexual man.
fen,Low, flat, swampy land.
fer,Eye dialect spelling of for.
fes,Plural form of fe, a Hebrew letter.
fet,To fetch.
feu,Land held in feudal tenure.
few,A small number. 
fey,Having a fairylike quality.
fez,A man's cap in the shape of a flat-topped cone.
fib,An insignificant lie.
fid,A square bar used as a support for a topmast.
fie,Used to express distaste.
fig,A type of tree cultivated for its fruit.
fil,A Nordic dairy product, similar to yoghurt.
fin,What a fish uses to swim.
fir,A type of evergreen tree.
fit,To be the proper size and shape for. 
fix,To place securely.
fiz,Fizz.
flu,Influenza.
fly,To engage in flight
fob,A small pocket used to hold a watch.
foe,A personal enemy.
fog,Condensed water vapor close to the ground.
foh,An exclamation of contempt.
fon,A fool or idiot.
foo,Represents an unspecified entity.
fop,A dandy.
for,Used to indicate the object of something. 
fou,Crazy.
fox,An animal.
foy,Scots   A farewell feast, drink, or gift.
fro,Away; back. 
fry,To cook over direct heat in hot oil or fat.
fub,A plump young person.
fud,Alternative capitalization of FUD
fug,A heavy, stale atmosphere.
fun,A source of enjoyment.
fur,The thick coat of hair covering the skin of a mammal.
gab,To talk idly or incessantly.
gad,To move about restlessly.
gae,to go.
gag,To stop up the mouth.
gal,A girl.
gam,A social visit, especially between whalers or seafarers.
gan,Simple past of gin.
gap,An opening in a structure or surface. 
gar,A type of fish.
gas,A state of matter.
gat,A pistol.
gay,Merry or homosexual.
ged,The European pike.
gee,The letter g.
gel,A colloid such as a jelly.
gem,A precious stone.
gen,gender
get,To receive.
gey,Very.
ghi,Ghee.
gib,To fasten with a wedge of wood or metal.
gid,A disease of sheep.
gie,Scots   Variant of give.
gif,GIF
gig,To catch fish with a pronged spear.
gin,A type of alcoholic beverage.
gip,Slang   Gyp.
gis,Jizz.
git,To get.
gnu,A large antelope, also called wildebeest.
goa,A Tibetan gazelle.
gob,A small mass or lump.
god,A supernatural being.
goo,A sticky or viscous substance.
gor,An unfledged bird.
gos,A Middle English form of goose.
got,Past tense and a past participle of get.
gox,GOX, gaseous oxygen.
goy,Offensive   Used as a disparaging term for one who is not a Jew.
grr,A growl of anger or disappointment.
gul,A stylized octagonal motif in Oriental rugs.
gum,A viscous substance exuded by certain plants and trees.
gun,A portable firearm.
gut,The intestine or stomach.
guv,A form of address, an informal form of sir.
